RA	DE	NormHalpha	RVHalpha	SigmHalpha	Norm[NII]6548	RV[NII]6548	Sigm[NII]6548	Norm[NII]6584	RV[NII]6584	Sigm[NII]6584	Norm[SII]6717	RV[SII]6717	Sigm[SII]6717	Norm[SII]6731	RV[SII]6731	Sigm[SII]6731
107.28	15	1918	-273.7175693	33.51663317	108.8	-262.7529456	19.88415819	326.5	-238.5857949	19.73791203	252.4	-215.1574509	15.46397614	180.8	-241.4013728	15.39657705
105.939	15	4359	-279.0621881	23.22118678	200.6	-270.4903995	18.10023354	601.7	-246.2821109	17.95946824	515	-220.7372603	11.05189414	384.3	-246.9687476	10.98113082
104.598	15	2953	-273.2150838	21.42418402	153.9	-270.1699133	17.05611701	461.8	-245.9633286	16.91816953	388.6	-221.4068374	10.09292607	281.4	-247.6813716	10.01989527
103.257	15	1454	-268.6927141	21.49604853	67.46	-276.9459084	19.90701539	202.4	-252.7032976	19.76069433	182.2	-226.7634544	11.86751888	128.8	-252.9815124	11.79812061
101.916	15	2038	-272.0273907	21.42418402	65.79	-283.9050385	28.22511633	197.4	-259.6254279	28.04651486	150	-236.4053651	26.46336907	112.1	-262.6019361	26.38516185
100.575	15	4316	-273.2150838	11.06124175	143.6	-276.9459084	14.18295534	430.7	-252.7032976	14.05067337	340.2	-228.7721858	6.541258518	238.9	-254.9857673	6.448428424
99.234	15	7189	-273.6262083	9.439332262	338.1	-276.6254221	11.14241579	1014	-252.3845153	11.01068837	730.1	-230.200617	4.999207619	529.5	-256.4110153	4.885229894
97.893	15	4396	-279.4733126	15.3034714	287.9	-283.4014172	15.49621271	863.6	-259.1244843	15.36178559	613	-237.1642192	15.01014656	440.9	-263.4036381	14.94276073
96.552	15	2016	-283.7215993	16.52400013	144.3	-289.3075211	17.58072107	432.8	-264.999187	17.44139856	361	-245.4223371	19.07078807	247.5	-271.5988138	19.00159042
95.211	15	1800	-280.0214786	10.05999323	116.8	-285.278551	10.88014427	350.4	-260.9916379	10.74805203	276.4	-240.0210816	8.344673067	189	-266.254134	8.264878578
93.87	15	1812	-282.1684622	9.364372882	123.6	-286.7894148	10.55468223	370.9	-262.4944688	10.4220144	297.6	-241.2709589	5.350177095	211.6	-267.456687	5.2422913
92.529	15	999.2	-285.2290559	12.50679707	82.08	-290.4063311	11.17134624	246.2	-266.0921549	11.03965396	129.8	-258.1443026	31.72216948	153.9	-284.2924285	31.63543333
91.188	15	586.4	-286.8278735	16.33706442	51.24	-293.7943286	15.04690461	153.7	-269.4621395	14.91330696	149.8	-246.5829375	16.48173147	85.34	-272.7568278	16.41410219
89.847	15	375.4	-283.2647943	17.67766781	30.01	-286.6062798	17.43817144	90.02	-262.3123075	17.29923102	105.9	-242.3422823	13.03034075	69.97	-268.5256229	12.96219624
88.506	15	356	-272.8496398	14.46187188	30	-278.9603934	14.99665488	90.01	-254.7070722	14.86314416	80.62	-232.7896486	14.60390576	55.13	-258.9942772	14.53647901
